,course_id,translated_title,category,instructional_level,translated_headline,translated_objectives_summary
9855,920506,Level 3 Intelligence Analyst Certification,teaching,Expert Level,Predictive Intelligence Analysis,"['Apply critical thinking skills during the analytic process', 'Demonstate the role of probabilities in predictive analysis', 'Create and use probability trees']"
9883,521012,Electrical Engineering Simulations with Etap,teaching,All Levels,"Guide in designing, and simulating power circuits, motor and transformer related circuitry using etap. ","['Build power systems and simulate the power, current and voltage flow', 'Single Line diagram creation and analysis', 'Run and Analyze AC power circuits']"
9901,3174940,Data Center Essentials: Power & Electrical,teaching,Beginner Level,The power & electrical systems that support data centers and the internet,"['Introduction to data center electrical and power systems', 'Redundancy concepts for electrical distribution and equipment', 'Understanding of electrical equipment, systems, and controls']"
9905,2168574,SAS Programming - Learn SAS from Beginner to Advanced,teaching,All Levels,"Learn SAS with this A-Z SAS Programming Course. SAS  Programming, SAS Reporting, SAS Data Analysis","['Be equipped with the powerful SAS language to start an amazing data analysis career', 'Learn by analyzing real world projects: Retail Store Revenue, Stock Market, Car Sales, and Basketball players', 'Master how to import and merge data, clean your data, and use conditional logic']"
9912,518410,Fundamentals of Structural Analysis,teaching,Beginner Level,Get to grips with civil engineering structural analysis once and for all,"['You will understand key concepts such as the moment of a force, static equilibrium and determinacy', 'You will be able to determine the support reactions for structures subject to a range of loading conditions', 'You will learn to use the Joint Resolution Method and Method of Sections to analyse pin-jointed truss structures']"
9935,430460,Introduction to Statistics,teaching,Beginner Level,"Introductory Statistics as Covered in the Social, Behavioral, and Natural Sciences","['Understand and learn how to calculate a number of different descriptive statistics', 'Increase your quantitative and numerical reasoning skills!', 'Increase marketable job skills in data analytics']"
9940,1468438,From Zero to NVivo 11 - Qualitative data analysis with NVivo,teaching,Beginner Level,Take your data analysis to a higher level,"['How to conduct Qualitative data analysis with NVivo 11', 'How to import data into Nvivo', 'How to make an initial inspection of this data, note down your reflections and observations, and prepare a plan for your data analysis procedures']"
10003,1030486,"[Intermediate] Spatial Data Analysis with R, QGIS & More",teaching,All Levels,"Become an Open source GIS Guru and Tackle Spatial Data Analysis Using R, QGIS, GRASS & GOOGLE EARTH","['Carry out the most common spatial data analysis and GIS tasks using free software tools', 'Perform advanced spatial data analysis and mapping using both R and QGIS', 'Develop robust map-making skills including harnessing the power of Google Earth.']"
10009,1473300,Fundamentals of Remote Sensing and Geospatial Analysis,teaching,All Levels,"Become proficient in satellite remote sensing, spatial analysis principles, methods, applications, sensors, and GIS!","['Acquire a thorough knowledge of remote sensing principles', 'Spectral signatures', 'Steps and knowledge of pre-processing satellite images: Geometric, Radiometric, Atmospheric corrections']"
10019,1096188,IIBA CBAP CCBA ECBA Business Analysis Certification - Part 1,teaching,All Levels,Learn business analysis key concepts and underlying competencies as per IIBA BABOK Guide version 3.0,"['Option to learn all 6 knowledge areas by enrolling in a Single Bundled Course', 'Understand business analysis key concepts and underlying competencies specified in the latest IIBA BABOK Guide version 3.0', 'Align your business analysis knowledge and/or experience with concepts of IIBA BABOK Guide version 3.0']"
10034,2645068,Abaqus CAE : Learn Static and Dynamic Analysis,teaching,All Levels,Learn Finite element analysis & simulation with Abaqus CAE,"['Analysis and Engineering simulation', 'linear static analysis', 'non linear analysis']"
10053,2002300,How to analyze Qualitative data,teaching,Beginner Level,"Impress your colleagues, supervisors and employers with your data analysis!","['Analyse qualitative data!', 'Choose between different approaches to coding, and code the data', 'Understand the role of previous assumptions in the process of data analysis']"
10061,51334,Introduction to Probability and Statistics,teaching,All Levels,A college level first course in Statistics,"['Students will learn probability and basic techniques of data analysis and inference. Students will gain a deeper understanding of the underlying concepts.', 'Calculate the Probability of X Successes in a Binomial Experiment', 'Construct a Confidence Interval for the Mean or Proportion']"
10073,3134804,Test English Vocabulary Level According CEFRL A1-C2 V2020-05,teaching,All Levels,"A Unique Statistic method to access your English Vocabulary  Level,  A very useful tool for school teacher and students.","['Test Your English Vocabulary According CEFRL A1-C2', 'A Unique Statistic method supported by a huge database from our many years research and experience.', 'A very useful tool for school teacher and students.']"
10075,1381794,2017 Great Decisions: Foreign Policy Association,teaching,All Levels,Learn about leading foreign policy challenges confronting U.S. policy makers and the American public.,"['Individuals are given the opportunity to receive a certificate for successfully completing the course.', 'The purpose of this course is to promote public engagement on leading foreign policy challenges confronting U.S. policymakers and the American public. Its objective is to provide a non-partisan analysis of eight topics of enduring relevance to the U.S. and the world and to outline foreign policy options for each.']"
10107,3270706,Design and Analysis of Experiments | DoE,teaching,Beginner Level,Design of Experiments: from ANOVA to Factorial Designs using Excel and R.,"['Fundamentals of the Design of Experiments (DoE).', 'Basic concepts of hypothesis testing, analysis of variance and mean comparison.', 'Factorial designs, single-replicate designs, blocking and confounding, fractional designs.']"
10131,1215682,Introduction to RF Design Theory and Principles - RAHRF201,teaching,Intermediate Level,"Preparing for Apple, Broadcom, Qualcomm , Skyworks and other RF interviews","['Power in AC circuits (Detailed explanation including average power, complex power, maximum power transfer and power in matched RF systems.', 'A brief review of MOS transistor (DC and AC analysis)', 'Nonlinearity in RF systems (Everything you need to know about non-linearity is explained in details including numerical examples.)']"
10135,1098888,Ultimate Electric Circuit Analysis Course from A to Z,teaching,All Levels,Learn the fundamentals of electric circuit analysis from scratch without any previous knowledge with dozens of examples,"['know all the Fundamentals of Electric DC Circuits', 'know the meaning of SI units or International Units', 'Know the Definition of the Electric Charge']"
10142,1514602,Mastering Shear Force and Bending Moment Diagrams,teaching,All Levels,Civil Engineering Essentials - Your complete roadmap to mastering these structural analysis skills,"['You will be fully competent in drawing shear force and bending moment diagrams for statically determinate beams and frames.', 'You will understand the relationship between external loading and the shear forces and bending moments they induce.', 'You will understand the link between internal stresses and their shear force and bending moment resultants.']"
10144,1914608,College Level Advanced Linear Algebra! Theory & Programming!,teaching,All Levels,"Linear Algebra (matlab - python) & Matrix Calculus For Machine Learning, Robotics, Computer Graphics, Control, & more !","['Gain Deep Understanding Of Linear Algebra Theoretically, Conceptually & Practically.', 'Obtain A Very Robust Mathematical Foundation For Machine & Deep Learning, Computer Graphics, And Control Systems.', 'Learn How To Use Both Python And Matlab For Solving & Visualizing Linear Algebra Problems.']"
10168,389734,Introduction to Qualitative Research Methods,teaching,Beginner Level,"Learn the basics of conducting qualitative research. Learn to design interviews, conduct observations, and analyze data.","['Write research questions for qualitative research', 'Design and conduct interviews', 'Collect observational data']"
10188,1751524,"PCA & multivariate signal processing, applied to neural data",teaching,Intermediate Level,"Learn and apply cutting-edge data analysis techniques for ""big neurodata"" (theory and MATLAB/Python code)","['Understand advanced linear algebra methods', 'Includes a 3+ hour ""crash course"" on linear algebra', 'Apply advanced linear algebra methods in MATLAB and Python']"
10213,1161866,Satellite Remote Sensing Data Bootcamp With Opensource Tools,teaching,All Levels,Pre-process and Analyze Satellite Remote Sensing Data With Free Software,"['Download different types of satellite remote sesning data for free', 'Have thorough knowledge of remote sensing- theoretical concepts and applications', 'Implement pre-processing techniques using R and QGIS']"
10222,2744286,Basics of Tolerance Stack-up Analysis and Fits with GD&T,teaching,Intermediate Level,Learn About Tolerances Stack-up Analysis and about  fits in engineering with multiple examples with GD&T for mechanical,"['The Basics of Limits and Fits', 'How to do a simple Tolerance stackup analysis', 'How to do a Tolerance stackup analysis with GD&T']"
10245,2811999,Differential Gene Expression Analysis - Your Complete A to Z,teaching,All Levels,"Become a bioinformatic analysis master: qPCR, RNAseq, Functional Genomics, Transcriptomics, R, RStudio, TUXEDO pipeline","[""You'll be able to apply the knowledge of molecular biology to solve problems in differential gene expression analysis specifically, and bioinfomatics generally"", ""You'll be able to undertake an end-to-end RNAseq analysis pipeline in R"", ""You'll be able to do a qPCR analysis in R""]"
10247,493236,Structural equation modeling (SEM) with lavaan,teaching,All Levels,"Learn how to specify, estimate and interpret SEM models with no-cost professional R software used by experts worldwide.","['Specify and estimate parameters in a structural equation model using the R lavaan package and interpret and report on the SEM model results.', 'Perform exploratory and confirmatory factors analyses (EFAs and CFAs) using their own datasets.', 'Use a variety of multiple imputation techniques to ""fill in,"" and correct for, missing data.']"
10250,689198,Statistical Problem Solving in Geography,teaching,All Levels,"A college level course on how to apply statistics in geography, GIS  and environmental science","['perform statistical analysis with geographic data', 'understand descriptive and inferential statistics', 'correctly interpret statistical results']"
10255,3219665,Data Center Essentials: Mechanical & Cooling,teaching,Beginner Level,The mechanical cooling systems that support data centers and the internet.,"['Introduction to data center cooling and mechanical systems', 'Redundancy concepts for mechanical and cooling systems', 'Understanding of mechanical & plumbing systems and controls']"
10266,2620848,Ecology in R,teaching,Intermediate Level,"Ecological data-mining, map making and GIS, SDM, movement models/home range analyses, phylogenetics & tree building","['Mining ecological and environmental data', 'Species range map making', 'Species Distribution Modelling (SDM)']"
10281,499676,Foundation of Statistics with Minitab,teaching,All Levels,Introducion to Descriptive and Inferential Statistics using the Minitab software,"['Use wide palette of Descriptive Statistics tools to visualize the structure of your dataset. Get the skills of choosing the appropriate graphical technic or the numerical descriptive measures to explore the tendencies or phenomena hidden in your data. ', 'Understand the role and the objectives of Inferential Statistics when you have only a smaller or larger sample of data and your aim is to infer about the whole population of data related to different business tendencies, production quality questions or even scientific phenomena to be explored.  ', 'Get the skill of analyzing data with the Minitab software and get the master of one, two or multiple samples estimation problems and hypothesis tests. Use the Analysis of Variance (ANOVA) method to wide range of real life situations. ']"
10327,1694126,ABAQUS FEM :  All you need ( A to Z ),teaching,Beginner Level,build up your knowledge on ABAQUS from scratch and become a professional,"['Complete knowledge of CAD in abaqus', 'Tension Analysis in beams', 'load analysis on every single elements of a truss']"
10350,4012192,6 Real CCAT Practice Tests - 450 CCAT Questions ( For 2022 ),teaching,All Levels,"The only course you need to pass your CCAT exam - with 450 real CCAT questions + answers, shortcut tips","['Access Real CCAT Past Questions for practice', 'Important CCAT Information to help you prepare for the exam', 'CCAT ( 2022 ) question pattern analysis - 50 questions with examples']"
10354,1818348,The Google Earth Engine Mega Course: Remote Sensing & GIS,teaching,All Levels,"Become a Google Earth Engine expert just in one course. Remote Sensing, GIS, JavaScript, Machine Learning","['Students will access and sign up the Google Earth Engine platform', 'Download, process and visualize various satellite data including Landsat, MODIS, Sentinel and VIIRS', 'Apply GIS techniques to process and analyze various vector data']"
10355,755724,The Complete Electric Circuits Course,teaching,Beginner Level,Learn the fundamentals of electrical and electronic engineering and then practice 100s of electric circuit problems.,"[""Master Kirchhoff's laws, nodal and mesh analysis, transistors, op amps and much more."", 'Solve electric circuit problems using Ohms Law.', 'Practice 100s of electric circuit problems with the prescribed textbook and solution manual included in this course.']"
10370,1978732,Master Statistics & Probability 2020: Beginner-To-Advanced,teaching,All Levels,"Includes 100+ Meaningful Lectures, Homework Assignments, Quizzes, Comprehensive Exams & An Online Statistics Textbook!","['Define various terms and concepts in Statistics, including samples, statistics and variables', 'Contrast various sampling methods along with various biases and invalid arguments', 'Organize data into structures that appeal to the eye']"
10422,591852,Linear Mixed-Effects Models with R,teaching,All Levels,"Learn how to specify, fit, interpret, evaluate and compare estimated parameters with linear mixed-effects models in R.","['Specify an appropriate linear mixed-effects model structure with their own data.', 'Compare alternative modeling structures and choose the best specification.', 'Represent, fit, and choose among different, competing correlational structures appropriate to both temporal and spatial pseudo-replicated models.']"
10443,506432,2015 Great Decisions: Foreign Policy Association,teaching,All Levels,Learn about leading foreign policy challenges confronting U.S. policy makers and the American public.,"['Individuals are given the opportunity to receive a certificate for successfully completing the course.', 'The purpose of this course is to promote public engagement on leading foreign policy challenges confronting U.S. policymakers and the American public. Its objective is to provide a non-partisan analysis of eight topics of enduring relevance to the U.S. and the world and to outline foreign policy options for each.']"
10457,1595040,Complete Remote Sensing Image Analysis with ENVI Software,teaching,All Levels,"Learn basic to advanced remote sensing image processing, spatial analysis, and GIS techniques using ENVI software","['Use ENVI software for a variety of image processing techniques', 'Understand basic tools in ENVI', 'Radiometric Calibration']"
10462,1894700,Starting with Social Network Analysis,teaching,Beginner Level,Learn all you need to know to quickly get started with doing and understanding social network analysis (SNA)!,"['Conceptualize your own social network study', 'Collect social network data yourself', 'Have an idea of how to analyze your social network data']"
10465,1422032,"Fundamentals of Rocket Science, with Falcon 9",teaching,All Levels,Learn How Rockets Work with SpaceX's Falcon 9 Rocket and get a new learning approach towards Rocket Science,"['Develop a strong foundation of Rocket Science. A complete end-to-end course on Rocket Science. You will understand the working of Rocket engines, how different stages separate, how orbit transfers and maneuvers work. A lot of myths will be busted along the way.', 'You will learn about the Falcon 9 rocket in detail. Along with the rocket, you will have a strong grasp of various systems and innovations pioneered by Spacex: Manufacturing, Launch sites, Navigation and Control, ASDS, Dragon Spacecraft, Spacesuit, and safety features.', 'You will also learn how to understand a launch webcast, with complete minute by minute analysis and explanation. The best part of the course- Learning by experiments, examples, captions for all videos and with a guaranteed reply to all queries within 24 hours!']"
10493,2526860,Power Engineering: Power System Analysis - Part 1,teaching,All Levels,Start your career in electrical engineering and power engineering by learning the fundamentals of power system analysis,"['The types and connections of power system loads', 'The power triangle, complex power, and complex power flow', 'Three-phase power analysis']"
10502,836672,Fundamentals of Spacecraft Engineering & Orbital Mechanics,teaching,All Levels,"Understand the Space Environment and the Engineering Behind Satellites, Launchers and Spacecraft Systems","['Understand the challenges and motivations behind space travel.', 'Understand the fundamentals of the current state of the art in Space technologies', 'Understand the basics of rocket science and be able to move onto more advanced levels of analysis']"
10543,1173580,SPSS Data Analysis for Beginning Researchers,teaching,Beginner Level,Beginners/newbies: Working on your first data analysis but don't know where to start? This step-by-step guide can help.,"['Explain the basic concepts of statistics and different levels of data measurement.', 'Determine the appropriate methods of analysis for a particular type of data.', 'Prepare and clean the data for analysis.']"
10608,4275082,How to build your own first Voice Assistant in Python,teaching,Beginner Level,Create your own first VA in python. How to create a chatbot in python. How to build a virtual assistant with pyhton,"['How to create your first own Virtual Assistant in python', 'Python beginners and experts are both welcome. Together we can finish the project', 'A python project for your future portfolio you can share to potential employers']"
10614,2531378,Robot Structural analysis (Steel structure),teaching,Intermediate Level,The full steel structure course using eurocode,"['Warehouse Modeling in Robot structural analysis', 'Design of all elements of warehouse', 'wind loads Simulation']"
10616,909462,Forensic Anthropology - Skeletal analysis,teaching,Beginner Level,What can you really tell about that skeleton in your closet?,"['Describe the scope of the field of anthropology; ', 'Describe the scope of the field of forensic  anthropology; ', 'Identify the major bones of the human skeleton; ']"
10637,1731888,Optimization and State Estimation Fundamentals,teaching,Intermediate Level,Learn optimization fundamentals and state estimation techniques with this practical course!,"['Understand the theory of operation of Kalman filters and optimization strategies', 'Estimate system states using Kalman Filters', 'Extract parameters from data using optimization strategies']"
10643,3683388,LS DYNA - A Simulation Training with Practical Applications,teaching,All Levels,Learn LS DYNA from basics to advance level with Real life engineering Applications,"['Basics of LS DYNA and engineering simulation', 'Non Linear analysis', 'Linear static and explicit dynamic analysis']"
10650,2915778,Fundamentals of Structural Analysis: For Complete Beginners,teaching,All Levels,"Learn structural analysis/ statics of civil engineering structures : Truss, Beam and Frame with practical examples.","['Concept of Force and Moment', 'Basic  Terms used in structural analysis', 'Structural Analysis of all kinds of trusses..']"
10668,2506376,ANSYS Workbench - Introduction to simulation design,teaching,Beginner Level,Basic guide to create mechanical simulations within this free finite element analysis program.,"['Use ANSYS Workbench to interact with the ANSYS family of solvers', 'General User Interface Understanding', 'Understand the procedures for performing static, modal and thermal simulations']"
10669,1106174,Ultimate Academic Writing course: Research + Essay Writing!,teaching,All Levels,Your Essential Academic Writing course with Research examples and practical Essay Writing tips!,"['understand a four-step procedure for writing an effective introduction', 'understand a three-step procedure to conduct a literature review', 'collect and clean your dataset']"
10691,1742812,Biostatistics Fundamentals using Python,teaching,Beginner Level,Learn how easy it is to use Python to do your biostatistical analysis,"['After completing this course, students will be able to use Python to do their own biostatistical analysis']"
10705,1393716,Complete Base SAS programming from Scratch - © 2022,teaching,All Levels,Real life Examples + SAS Quizzes + SAS Practice Exercises with Solution,"['Students will be able to Analyze complete real life data taught in this course', 'Will be able to Program themselves and crack the interview or test', 'Can confidently specify in there Resume, new skill ""Base SAS programming""']"
10775,2945452,Power Engineering: Power System Analysis - Part 2,teaching,All Levels,"Learn about generators, transformers, and transmission lines to further your career in electrical and power engineering","['Generator circuit models and their analysis', 'How generators are used in power system analysis', 'The per-unit system and its use in analyzing power systems']"
10797,1163254,SPSS for healthcare and life science statistics,teaching,Beginner Level,Learn to conduct the most common statistical tests using SPSS,"['Be familiar with the SPSS user interface', 'Be able to import research data', 'Conduct descriptive statistical analysis']"
10842,456210,Network Theory: Introduction,teaching,All Levels,Learn the Language of Networks,"['By the end of taking this course you will have a solid grasp of the formal language of network theory, the standardized language used to model networks within a wide variety of domains', 'You will have a solid conceptual background required to approach a more advanced course in the mathematical analysis of networks']"
10844,2513124,"CNC cutting tools, and machining techniques",teaching,Beginner Level,How to choose cutting tools for CNC machines,"['CNC cutting tools, setting cutting data, and machining techniques']"
10866,3751752,ETABS & SAFE Complete Building Design Course + Detailing,teaching,All Levels,Learn ETABS+ CSI SAFE+AUTOCAD to carry out Structural Analysis and Design of Real World Projects.,"['Learn how to import Autocad plans into Etabs the right way.', 'Learn how to carry out Static and Dynamic earthquake analysis.', 'Learn how to structurally design RCC Buildings from scratch in Etabs.']"
10869,3664206,QGIS 3: from Beginner to Advanced,teaching,Beginner Level,Learn skills that will make you stand out from the competition,"['How to work with vector and raster data', 'How to use spatial web services (WMS, WMTS, WCS and WFS)', 'Create maps']"
10909,2482836,Basics of Computer Aided Drug Discovery Part-I,teaching,Beginner Level,Basics of Computer Aided Drug Discovery,"['Introduction to Computer Aided Drug Discovery.', 'Introduction to databases like PDB, PubChem and ZINC database.', 'How to visualize protein and ligands in Biovia Discovery Studio and MGLtools.']"
10912,3202562,Mastering Control Systems : Very basics to Advance for 2021,teaching,All Levels,"Learn Modeling of Static & Dynamic Systems, Stability,Time & Frequency Domain Analysis, Bode & Nyquist plots, Root Locus","['To understand and differentiate the basics of linear time-invariant control system.', 'To understand and analyze time response of first and second order control systems for different standard test signals.', 'To perform frequency domain analysis of linear control system using bode plot and nyquist stability criterion']"
10913,2019516,Introduction to Geospatial Data Analysis in Python,teaching,All Levels,Learn Python for geospatial and GIS data analysis using various open source big data,"['Download Python and the Jupyter Notebook using Anaconda', 'Create Interactive Maps with Leaflet', 'Import data in to Python for spatial analysis and visualization']"
10921,2093158,"Building Management System (BMS) For Elec. ,Mech. Engineers",teaching,All Levels,"Learning Building Management System Design from Zero and preparing Design ,Construction drawings   with Good analysis","['They will be professional in design Building Management System (BMS) OR Building Automation System and have great opportunity to work in a large number of consulting firms, international contracting companies and manufacturing companies for BMS solution']"
10926,1498734,How to Produce Prediction Map in GIS With ArcGIS and Excel?,teaching,All Levels,Step By Step Guide To Produce and Validate Hazards Prediction Map With ArcGIS and Excel Using Frequency Ratio Model,"['UPDATES March 2019: Course full data was uploaded with Section 2.', 'You’ll have my continuous support, taking your hand step-by-step to develop your first high quality map using real data', 'Writing a journal article, MOST WELCOME, I am available to help you to produce a scientific article qualified for peer review acceptance']"
10935,1088444,A Guide to Electronics Cooling,teaching,All Levels,Become a Thermal Analyst: Learn the Thermal Management of Electronics Systems,"['Find out how much heat is dissipated and what is the best way to manage it', 'Propose solutions to cool electronic devices', 'Interpreate thermal data that comes with electronic device datasheets']"
10947,671782,RF / Antenna Fundamentals,teaching,All Levels,Applications in 802.11 WiFi,"['RF / antennas in wireless protocols', '802.11 WiFi data-transfer mechanisms', 'Aspects of RF propagation']"
11013,1519080,Indeterminate Structures & The Moment Distribution Method,teaching,All Levels,Civil Engineering Essentials - Unlock indeterminate structures using the moment distribution structural analysis method,"['You will have a deep understanding of how structures respond to loading.', 'You will clearly understand the methods used to analyse statically indeterminate beams and frames.', 'You will be comfortable determining shear force, bending moment and deflected shape diagrams.']"
11074,1207952,Systematic Review - right from the start,teaching,Beginner Level,A systematic guide to producing a great review,"['Understand the difference between a systematic review and a narrative review', 'Understand the difference between a systematic review and a meta-analysis', 'Choose the right topic and recruit the right team members ']"
11130,2418354,Probability and Statistics 1: The Complete Guide,teaching,All Levels,Learn everything fast through concise yet contented lectures,"['representation and characterisation of data', 'elementary probability theory', 'combinatorics']"
11150,2517242,Project based Text Mining in Python,teaching,Beginner Level,"Use of Natural Language Processing, Machine Learning and Sentiment Analysis towards Data Science","['In this course the students will learn the basics of text mining and will build on it to perform document categorization, grouping and sentiment analysis.', 'The practicals are carried out in Python language, Natural Language Processing (NLP) is used for pre-processing before training machine learning models.', 'Sentiment analysis of user hotel reviews']"
11163,2587742,Basic Concepts of Mechanics of Materials for Machine Design,teaching,All Levels,Learn the Foundation concepts of Strength of materials with Math derivations and theory for mechanical engineering,"['What is machine design , its nature and design process', 'Different types of stress, loading and their analysis', 'Tensile Test - Stress - strain diagram and its  inferences']"
11183,3776662,Python engineering animations: Bring math & data to life,teaching,Intermediate Level,Present engineering data like a movie: create code for Python animations in Matplotlib + Mathematics + Control Systems,"['Animations using Python programming language', 'Basic Mathematics to create the animations in Python', 'Intro to Control Systems to create animations in Python']"
11187,1971048,MATLAB for Engineering Students Part 2,teaching,All Levels,"Increase your MATLAB skills with advanced functions, strings, calculus, polynomials, symbolics & more.","['Write subfunctions, anonymous functions, and utilize string concepts', 'Create user defined functions with variable inputs and outputs', 'Curve fit data using polynomials']"
11211,1584768,The Direct Stiffness Method for Truss Analysis with Python,teaching,All Levels,Build your own finite element truss analysis software using Python and model large scale structures,"['You’ll learn how to use the Direct Stiffness Method to build complete structural models that can be solved using Python', 'You’ll build your own truss analysis programme that can be used to identify displacements, reactions and internal member forces  for any truss structure', 'You’ll learn about common models of elastic behaviour such as plane stress and plane strain and how they apply to real-world structures']"
11224,3199070,Fundamentals of Engineering Structural Dynamics with Python,teaching,Beginner Level,Leverage fundamental structural dynamics to build your own flexible numerical solutions in Python,"[""You'll learn what separates a static from dynamic analysis and the key role inertia plays"", ""You'll learn how to use Python to build flexible algorithms to model the influence of any form of general dynamic loading"", ""You'll learn how to model dynamic behaviour using spring-mass-damper models and how to simulate free vibration""]"
11246,2432404,Psychodynamic Psychology - Certification Course,teaching,All Levels,Learn more about Psychodynamic Theories in Psychology,"['Classical psychoanalysis. Ideas and views of Sigmund Freud.', 'Analytical psychology.  Ideas and views of Carl Gustav Jung.', 'Individual psychology.  Ideas and views of Alfred Adler.']"
11280,778098,IELTS Academic Writing Course: Task 1,teaching,Intermediate Level,"A guide to help you prepare for the academic IELTS test, for students who want to go from an IELTS 5.0 to a 6.0 or 6.5","['Reach a 6.5 or above in the IELTS academic writing exam', 'Respond quickly and comfortably to data given in the IELTS academic writing exam', 'Deal with all IELTS academic writing task 1 question types']"
11305,2722350,Math for Data Science and Machine Learning,teaching,All Levels,"Learn math for data science, machine learning, linear algebra, calculus, probability theory, discrete Math, Statistics.","['Introduction to matrix', ""Gauss's elimination method"", 'Properties of matrix and determinants']"
11324,2508614,Full course Circuit Analysis,teaching,All Levels,Introduction to circuit analysis,"['The basic concepts to understand electrical circuits', 'Identify terms as ( Resistors , Current , Voltage , Power , Energy , Capacitance , inductance )', ""learn the Basic tools such as ( ohm's law , KCL , KVL , current & Voltage Division and circuit simplification )""]"
11335,2493180,Intro to Mechanical Design engineering skillset,teaching,All Levels,"Learn what design engineers do , how they do it and how to become one for Mechanical engineers, students and graduates","['Learn about the Profession of Design engineering with scenarios', 'What are the skills and knowledge required from a design engineer?', 'What is the importance of Engineering analysis and types of engineering analysis?']"
11388,1137736,Mathematica for healthcare and life science statistics,teaching,Beginner Level,"Learn an easy, yet powerful computer language and how to use it to do your own statistical analysis.","['Understand the Wolfram computer language', 'Import your own data into Mathematica', 'Do statistical analysis of the data']"
11424,3597702,Advanced Google Earth Engine(GEE) For Spatial Data Analysis,teaching,All Levels,Google Earth Engine For Geospatial Data Analysis and Machine Learning For Remote Sensing Data in the Cloud,"['Gain robust grounding in the basic and latest features of Google Earth Engine (GEE)', 'Learn how to work with in-built shapefiles and imagery data present within GEE', 'Learn to upload and analyse your own data in GEE']"
11427,2750878,Phase 1 Environmental Site Assessment: Real Case Study,teaching,All Levels,Learn environmental consulting for commercial real estate due diligence with intuitive concepts & engaging visuals.,"['Conduct environmental assessments of commercial properties.', 'Identify regulatory suspects from database search results.', 'Create historical timelines of property development and past usages']"
11447,2002670,Remote Sensing for Water Resources in Google Earth Engine,teaching,All Levels,"Learn satellite remote sensing, google earth engine, GIS and geospatial data analysis for water resource application","['Download, process and visualize various satellite data for water resources application', 'Understand the advantages of using satellites for Water Resources', 'Generate various visualizations including time series and histogram charts from remote sensing data']"
11451,2409820,Unix essentials for NGS bioinformatics,teaching,Beginner Level,A course to develop unix skills for next generation sequencing data handling and processing,"['Knowledge and understanding of unix commands for NGS data processing', 'Skill to use non-GUI tools for large data processing', 'Smart tricks to use command for NGS data handling']"
11462,1811672,Enzymology,teaching,All Levels,Detailed Overview,"['Understand the role of kinetics in enzymatic reactions', 'Differentiate between equilibrium and steady state kinetics and analyze  kinetic data', 'Solve kinetic related exercises and estimate important parameter (Km. Vmax, Kcat etc)']"
11500,3930516,CSI ETABSV19 steel structure analysis and design,teaching,All Levels,Structural analysis and design of a steel Hangar structure,['Structural design of steel structure analysis and design']
11514,2954938,Data Cleaning in Python,teaching,Beginner Level,"Preprocessing, structuring and normalizing data",['Data cleaning or cleansing as a preprocessing step towards making the data more consistent and high quality before training predictive models.']
11518,3572137,CELTA Preparation: Prepare with an Official CELTA Tutor,teaching,All Levels,"Preparation for CELTA. All about teaching, planning, analysis, and assignments. Learn from an official CELTA trainer","['Explanation of the assessment criteria to be ready for your lessons', 'Learn how to teach systems & skills (grammar, vocabulary, reading, listening, speaking writing)', 'Learn how to analyze language (grammar and vocabulary)']"
11522,2394432,How To Conduct & Write a Literature Review,teaching,Beginner Level,Learn The Steps To Success,"['You will learn how to conduct and write a literature review. This includes learning how to design a literature review and manage and analyze your data. From there, you will learn how to formulate arguments and write your draft.']"
11535,2436480,Geophysical Surveying Methods: An Introduction,teaching,Beginner Level,Geophysical Exploration Methods: Applied Geophysics,"['(1) Have an understanding of geophysics as a field of science and its various aspects', '(2) Understand the principles, methods and field operations of each of the more frequently used geophysical methods.', '(3) Have a grasp of the general interpretation procedures of geophysical data from each technique.']"
11594,2733334,Prediction Mapping Using GIS Data and Advanced ML Algorithms,teaching,Intermediate Level,"eXtreme Gradient Boosting, K Nearest Neighbour, Naïve Bayes, Random Forest for Prediction Geo-Hazards and Air pollution","['Two applications of susceptibility prediction mapping in GIS, 1) Landslides prediction maps 2) Ambient air pollution prediction maps', 'Step by step analysis of ML algorithms for classification: eXtreme Gradient Boosting (XGBoost) K nearest neighbour (KNN) Naïve Bayes (NB) Random forest (RF)', 'Run classification based algorithms with training data model accuracy, Kappa index, variables importance, sensitivity analysis of explanatory and response data']"
11627,4118460,Data Science and Statistics for Environmental Professionals,teaching,Beginner Level,"Basic course to learn environmental data management: solid waste, air pollution, effluent discharge, groundwater, etc.","['Learn good practices of Environmental Data Management', 'What is Exploratory Data Analysis', 'Environmental data characteristics']"
11628,4004736,Automate Web Scraping Using  Python Scripts and Spiders,teaching,Beginner Level,Build Scripts and Spiders from scratch to extract data from the internet.,"['Build and automate web scraping with Python Scripts', 'Build and automate web scraping with Spiders', 'Learn how to use Beautiful Library for data extraction']"
11676,2945458,Power Engineering: Power System Analysis - Part 3,teaching,All Levels,Learn about power flow analysis and short circuit analysis to further your career in electrical and power engineering,"['Power flow (load flow) analysis', 'Calculate the bus admittance matrix of a power system', 'Short circuit analysis of balanced and unbalanced faults']"
